model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07870197687430064,0.07870197687430064,0.03945127781854065,0.027732707530357666,0.027732707530357666,5362
baseline_retrieval_als,20,0.13222678105184632,0.13222678105184632,0.05282566743672807,0.03132591535182064,0.03132591535182064,5362
baseline_retrieval_als,50,0.247668780305856,0.247668780305856,0.07559701914308117,0.03492641887718454,0.03492641887718454,5362
baseline_ranker,10,0.08485639686684072,0.08485639686684072,0.041166891398139234,0.028048495290196127,0.028048495290196127,5362
baseline_ranker,20,0.14043267437523313,0.14043267437523313,0.05517901259737232,0.03187330981675256,0.03187330981675256,5362
baseline_ranker,50,0.25512868332711675,0.25512868332711675,0.07778502576261973,0.035439982321070956,0.035439982321070956,5362
final_retrieval_two_tower_faiss_hybrid4,10,0.0712420738530399,0.0712420738530399,0.034506972155780136,0.023579362119086112,0.023579362119086112,5362
final_retrieval_two_tower_faiss_hybrid4,20,0.11898545318910854,0.11898545318910854,0.04651207187484457,0.026840771650076443,0.026840771650076443,5362
final_retrieval_two_tower_faiss_hybrid4,50,0.2288325251771727,0.2288325251771727,0.06816082879012288,0.030260699110494255,0.030260699110494255,5362
final_ranker_two_tower_hybrid4,10,0.0897053338306602,0.0897053338306602,0.043405772826162196,0.029474535680242487,0.029474535680242487,5362
final_ranker_two_tower_hybrid4,20,0.1422976501305483,0.1422976501305483,0.05663633938124854,0.03306949889493686,0.03306949889493686,5362
final_ranker_two_tower_hybrid4,50,0.25792614696008953,0.25792614696008953,0.07948167576966056,0.036697064886530135,0.036697064886530135,5362
final_ranker_ensemble,10,0.0908243192838493,0.0908243192838493,0.043931049678970574,0.029797798144497116,0.029797798144497116,5362
final_ranker_ensemble,20,0.14733308466989928,0.14733308466989928,0.05814892351463147,0.03366777406727007,0.03366777406727007,5362
final_ranker_ensemble,50,0.2596046251398732,0.2596046251398732,0.08025562671775503,0.03714371824235996,0.03714371824235996,5362
