model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07824703858198517,0.07824703858198517,0.0368625881425471,0.024527590684493474,0.024527590684493474,161578
baseline_retrieval_als,20,0.13652848778917923,0.13652848778917923,0.051468767646991424,0.02846900257929922,0.02846900257929922,161578
baseline_retrieval_als,50,0.2699624948941069,0.2699624948941069,0.0777515734228061,0.03260892324507018,0.03260892324507018,161578
baseline_ranker,10,0.10731659012984442,0.10731659012984442,0.05472753358359247,0.03891323950474927,0.03891323950474927,161578
baseline_ranker,20,0.1714032851006944,0.1714032851006944,0.07082391460296643,0.043275294126105084,0.043275294126105084,161578
baseline_ranker,50,0.2984564730346953,0.2984564730346953,0.0958897360282972,0.047240630279090964,0.047240630279090964,161578
final_retrieval_two_tower_faiss_hybrid3,10,0.07725061580165617,0.07725061580165617,0.036581017288236733,0.024476853480957055,0.024476853480957055,161578
final_retrieval_two_tower_faiss_hybrid3,20,0.13457277599673223,0.13457277599673223,0.05095675964345342,0.028360956383634273,0.028360956383634273,161578
final_retrieval_two_tower_faiss_hybrid3,50,0.2605181398457711,0.2605181398457711,0.07575535067627737,0.032263365896600144,0.032263365896600144,161578
final_ranker_two_tower_hybrid3,10,0.11130228125116043,0.11130228125116043,0.05720464324287916,0.040936420799861234,0.040936420799861234,161578
final_ranker_two_tower_hybrid3,20,0.17623067496812686,0.17623067496812686,0.0734835165576185,0.045332816839381035,0.045332816839381035,161578
final_ranker_two_tower_hybrid3,50,0.30522719677183774,0.30522719677183774,0.09894346507135034,0.04936442025868759,0.04936442025868759,161578
final_ranker_ensemble,10,0.11224300337917291,0.11224300337917291,0.057661055505688404,0.04123682856400176,0.04123682856400176,161578
final_ranker_ensemble,20,0.17781504907846366,0.17781504907846366,0.07412029896507866,0.04569215776625684,0.04569215776625684,161578
final_ranker_ensemble,50,0.3061122182475337,0.3061122182475337,0.09942702558513623,0.04969300053697739,0.04969300053697739,161578
