model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07825941650472218,0.07825941650472218,0.036848587698077966,0.024504605569633246,0.024504605569633246,161578
baseline_retrieval_als,20,0.13661513324833827,0.13661513324833827,0.0514731482721403,0.02845097486467182,0.02845097486467182,161578
baseline_retrieval_als,50,0.27004914035326594,0.27004914035326594,0.07775451636725772,0.03259002318880666,0.03259002318880666,161578
baseline_ranker,10,0.10715567713426333,0.10715567713426333,0.0547740403796346,0.03904117908948383,0.03904117908948383,161578
baseline_ranker,20,0.17116810456869128,0.17116810456869128,0.07083442944148849,0.0433846266841881,0.0433846266841881,161578
baseline_ranker,50,0.2984317171892213,0.2984317171892213,0.0959402591436233,0.04735534258584891,0.04735534258584891,161578
final_retrieval_two_tower_faiss_hybrid4,10,0.07739915087450024,0.07739915087450024,0.036574452380049034,0.024430502580993656,0.024430502580993656,161578
final_retrieval_two_tower_faiss_hybrid4,20,0.13497505848568495,0.13497505848568495,0.05101438695456955,0.02833234104448993,0.02833234104448993,161578
final_retrieval_two_tower_faiss_hybrid4,50,0.2618982782309473,0.2618982782309473,0.0759981289272029,0.03226107666321277,0.03226107666321277,161578
final_ranker_two_tower_hybrid4,10,0.11202020076990679,0.11202020076990679,0.05776456341729424,0.04143738038358596,0.04143738038358596,161578
final_ranker_two_tower_hybrid4,20,0.17781504907846366,0.17781504907846366,0.07429549858824612,0.04592013583759247,0.04592013583759247,161578
final_ranker_two_tower_hybrid4,50,0.3072633650620753,0.3072633650620753,0.09984344349692265,0.04996556368177832,0.04996556368177832,161578
final_ranker_ensemble,10,0.11268860859770513,0.11268860859770513,0.05809058111851196,0.0416475275492284,0.0416475275492284,161578
final_ranker_ensemble,20,0.1787186374382651,0.1787186374382651,0.07466999302028315,0.0461380251332189,0.0461380251332189,161578
final_ranker_ensemble,50,0.30781418262387206,0.30781418262387206,0.10013942171085542,0.05016705899838012,0.05016705899838012,161578
