model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07822847169787966,0.07822847169787966,0.036848684271889864,0.024512624204104726,0.024512624204104726,161578
baseline_retrieval_als,20,0.1363056851799131,0.1363056851799131,0.05141065857749392,0.028445638759998556,0.028445638759998556,161578
baseline_retrieval_als,50,0.2699686838554754,0.2699686838554754,0.07774845195346167,0.032598551678661235,0.032598551678661235,161578
baseline_ranker,10,0.10783027392343017,0.10783027392343017,0.054979937521230655,0.039111635011602926,0.039111635011602926,161578
baseline_ranker,20,0.17147755263711645,0.17147755263711645,0.07094148108140906,0.04342486837414025,0.04342486837414025,161578
baseline_ranker,50,0.29833269380732524,0.29833269380732524,0.095972165640659,0.04738580983464345,0.04738580983464345,161578
final_retrieval_two_tower_faiss_hybrid3,10,0.07485548775204545,0.07485548775204545,0.03558367120766823,0.02390140041460175,0.02390140041460175,161578
final_retrieval_two_tower_faiss_hybrid3,20,0.13157731869437672,0.13157731869437672,0.04980953233463631,0.027745647064153226,0.027745647064153226,161578
final_retrieval_two_tower_faiss_hybrid3,50,0.25923083588112245,0.25923083588112245,0.07492410150763698,0.03168976772831266,0.03168976772831266,161578
final_ranker_two_tower_hybrid3,10,0.10870291747638912,0.10870291747638912,0.055337425594102964,0.0392912720712607,0.0392912720712607,161578
final_ranker_two_tower_hybrid3,20,0.17364368911609254,0.17364368911609254,0.07164185956240655,0.043706753531919516,0.043706753531919516,161578
final_ranker_two_tower_hybrid3,50,0.30382230254118753,0.30382230254118753,0.09731441140574584,0.047763483538652104,0.047763483538652104,161578
final_ranker_ensemble,10,0.11057198380967706,0.11057198380967706,0.05628845024733375,0.039953093075888235,0.039953093075888235,161578
final_ranker_ensemble,20,0.17567985740633008,0.17567985740633008,0.07263856084712965,0.04438219779855661,0.04438219779855661,161578
final_ranker_ensemble,50,0.3053324091151023,0.3053324091151023,0.09821221025932561,0.04842488147307227,0.04842488147307227,161578
