model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07642129497827675,0.03647523651689562,0.024561976259144556,0.024561976259144556,161578
baseline_retrieval_als,20,0.13548255331790218,0.0512704559235226,0.028550795569091597,0.028550795569091597,161578
baseline_retrieval_als,50,0.2681058064835559,0.07738936739071213,0.03266272415446904,0.03266272415446904,161578
baseline_ranker,10,0.10370223669063858,0.05268011235218668,0.03736671875217973,0.03736671875217973,161578
baseline_ranker,20,0.16636547054673284,0.06841728999715929,0.041631016025913306,0.041631016025913306,161578
baseline_ranker,50,0.2920632759410316,0.09323087084958323,0.04556170194304293,0.04556170194304293,161578
final_retrieval_two_tower_faiss_hybrid,10,0.07290596492096696,0.03470285244216301,0.023352319200300006,0.023352319200300006,161578
final_retrieval_two_tower_faiss_hybrid,20,0.1280186659074874,0.04849757139919778,0.027065243409973145,0.027065243409973145,161578
final_retrieval_two_tower_faiss_hybrid,50,0.25179789327755014,0.07287167556182977,0.03090065672373278,0.03090065672373278,161578
final_ranker_two_tower_hybrid,10,0.10161036774808452,0.051365150808985814,0.03626661367736906,0.03626661367736906,161578
final_ranker_two_tower_hybrid,20,0.16476871851365904,0.06721430916221445,0.04055454516673852,0.04055454516673852,161578
final_ranker_two_tower_hybrid,50,0.28921635371152016,0.09177581283279618,0.04444337161901891,0.04444337161901891,161578
final_ranker_ensemble,10,0.10480387181423213,0.05318537231793956,0.0376886110536422,0.0376886110536422,161578
final_ranker_ensemble,20,0.1684759063733924,0.06918503650359976,0.04202903212098778,0.04202903212098778,161578
final_ranker_ensemble,50,0.29444602606790526,0.09405071474251483,0.04596680727072884,0.04596680727072884,161578
