model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.0763470274418547,0.036472503492045956,0.024578961519789236,0.024578961519789236,161578
baseline_retrieval_als,20,0.1355258760474817,0.051298048848706916,0.0285763911225676,0.0285763911225676,161578
baseline_retrieval_als,50,0.2680810506380819,0.07740247332618823,0.03268551996356178,0.03268551996356178,161578
baseline_ranker,10,0.10359083538600553,0.05262446523612578,0.037340892118151586,0.037340892118151586,161578
baseline_ranker,20,0.1660807783237817,0.0682880107404637,0.041568843734745974,0.041568843734745974,161578
baseline_ranker,50,0.2923170233571402,0.09319635036268958,0.045509546138023424,0.045509546138023424,161578
final_retrieval_two_tower_faiss_hybrid,10,0.07286883115275594,0.03471164070862692,0.023374520871241027,0.023374520871241027,161578
final_retrieval_two_tower_faiss_hybrid,20,0.12794439837106536,0.04850227037417816,0.027089098698333355,0.027089098698333355,161578
final_retrieval_two_tower_faiss_hybrid,50,0.2517607595093391,0.07288667516126003,0.030927425428259474,0.030927425428259474,161578
final_ranker_two_tower_hybrid,10,0.10230972038272537,0.05181103703492951,0.03665624563457207,0.03665624563457207,161578
final_ranker_two_tower_hybrid,20,0.1651276782730322,0.0675640189621918,0.04091253559401378,0.04091253559401378,161578
final_ranker_two_tower_hybrid,50,0.2895134238572083,0.092103557565007,0.04479305436996943,0.04479305436996943,161578
final_ranker_ensemble,10,0.10449442374580697,0.053153243532892865,0.03774012433328702,0.03774012433328702,161578
final_ranker_ensemble,20,0.16810456869128224,0.06913218099115363,0.042072056570182786,0.042072056570182786,161578
final_ranker_ensemble,50,0.29442745918379976,0.0940773173130912,0.04602692408758615,0.04602692408758615,161578
