model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07629751575090668,0.07629751575090668,0.03642811639547086,0.024535737027691705,0.024535737027691705,161578
baseline_retrieval_als,20,0.1355382539702187,0.1355382539702187,0.05126803640190738,0.028536567617378272,0.028536567617378272,161578
baseline_retrieval_als,50,0.26816769609724095,0.26816769609724095,0.07738647786563077,0.03264764671127124,0.03264764671127124,161578
baseline_ranker,10,0.10219213011672382,0.10219213011672382,0.0521096229893239,0.037072770102483416,0.037072770102483416,161578
baseline_ranker,20,0.16575276337125103,0.16575276337125103,0.06806274452250619,0.04139071150775278,0.04139071150775278,161578
baseline_ranker,50,0.2922737006275607,0.2922737006275607,0.0930170373998164,0.04533491609663643,0.04533491609663643,161578
final_retrieval_two_tower_faiss_hybrid3,10,0.07650794043743579,0.07650794043743579,0.036131765367831394,0.02413206202243109,0.02413206202243109,161578
final_retrieval_two_tower_faiss_hybrid3,20,0.13341544022082213,0.13341544022082213,0.05038162414623151,0.027971078693310794,0.027971078693310794,161578
final_retrieval_two_tower_faiss_hybrid3,50,0.2591318124992264,0.2591318124992264,0.07513095387221672,0.03186321128674009,0.03186321128674009,161578
final_ranker_two_tower_hybrid3,10,0.10662961541794057,0.10662961541794057,0.0551267807865994,0.03960724556443014,0.03960724556443014,161578
final_ranker_two_tower_hybrid3,20,0.1698189109903576,0.1698189109903576,0.0710038582122223,0.04391266961990822,0.04391266961990822,161578
final_ranker_two_tower_hybrid3,50,0.29424179034274467,0.29424179034274467,0.09554901218949674,0.04779457626352534,0.04779457626352534,161578
final_ranker_ensemble,10,0.1076755498892176,0.1076755498892176,0.05546835200950889,0.039776781354997695,0.039776781354997695,161578
final_ranker_ensemble,20,0.17048731881815593,0.17048731881815593,0.07123740027040255,0.04404641973242664,0.04404641973242664,161578
final_ranker_ensemble,50,0.2961913131738232,0.2961913131738232,0.0960603487649073,0.04798213882341058,0.04798213882341058,161578
