model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07627894886680117,0.07627894886680117,0.03646360174036573,0.024585919189454727,0.024585919189454727,161578
baseline_retrieval_als,20,0.13543923058832266,0.13543923058832266,0.051289853259620065,0.028586454666048085,0.028586454666048085,161578
baseline_retrieval_als,50,0.2680996175221874,0.2680996175221874,0.07741757703814411,0.03270038982392674,0.03270038982392674,161578
baseline_ranker,10,0.10266249118073005,0.10266249118073005,0.05246351028748169,0.037382800227989794,0.037382800227989794,161578
baseline_ranker,20,0.16517100100261173,0.16517100100261173,0.06817043925066456,0.04164309150698674,0.04164309150698674,161578
baseline_ranker,50,0.29191474086818753,0.29191474086818753,0.093176199024345,0.04559823166953429,0.04559823166953429,161578
final_retrieval_two_tower_faiss_hybrid3,10,0.07666885343301687,0.07666885343301687,0.036235615703383454,0.024222099130657534,0.024222099130657534,161578
final_retrieval_two_tower_faiss_hybrid3,20,0.13348970775724417,0.13348970775724417,0.05045840880687424,0.028050956296313646,0.028050956296313646,161578
final_retrieval_two_tower_faiss_hybrid3,50,0.25900184431048784,0.25900184431048784,0.07516922608776704,0.031937803590072485,0.031937803590072485,161578
final_ranker_two_tower_hybrid3,10,0.10664818230204608,0.10664818230204608,0.05498752695566594,0.03942584759790698,0.03942584759790698,161578
final_ranker_two_tower_hybrid3,20,0.16971369864709304,0.16971369864709304,0.07082580614690721,0.04371675858582522,0.04371675858582522,161578
final_ranker_two_tower_hybrid3,50,0.2943655695701147,0.2943655695701147,0.09541707544850558,0.0476061155562836,0.0476061155562836,161578
final_ranker_ensemble,10,0.10771887261879712,0.10771887261879712,0.0552936785032174,0.039511196322303065,0.039511196322303065,161578
final_ranker_ensemble,20,0.17082152273205511,0.17082152273205511,0.07114481919517093,0.04380794961877893,0.04380794961877893,161578
final_ranker_ensemble,50,0.29612942356013816,0.29612942356013816,0.0958776441601611,0.047724594865716306,0.047724594865716306,161578
