model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07639653913280273,0.07639653913280273,0.03648575929665895,0.024580828031947985,0.024580828031947985,161578
baseline_retrieval_als,20,0.1355073091633762,0.1355073091633762,0.051296257124668065,0.028575370149832385,0.028575370149832385,161578
baseline_retrieval_als,50,0.26813675129039843,0.26813675129039843,0.07741514250766532,0.03268676482997097,0.03268676482997097,161578
baseline_ranker,10,0.10344848927452995,0.10344848927452995,0.05275740969794218,0.037540962574073675,0.037540962574073675,161578
baseline_ranker,20,0.16609315624651871,0.16609315624651871,0.06848825449364224,0.04180260165193249,0.04180260165193249,161578
baseline_ranker,50,0.2924965032368268,0.2924965032368268,0.0934279485008447,0.04574781405992076,0.04574781405992076,161578
final_retrieval_two_tower_faiss_hybrid3,10,0.0761118469098516,0.0761118469098516,0.035959926257040295,0.0240242365621442,0.0240242365621442,161578
final_retrieval_two_tower_faiss_hybrid3,20,0.13289556746586786,0.13289556746586786,0.05017771439492807,0.027853884660575503,0.027853884660575503,161578
final_retrieval_two_tower_faiss_hybrid3,50,0.25828392479174145,0.25828392479174145,0.0748629492662559,0.031736596047962265,0.031736596047962265,161578
final_ranker_two_tower_hybrid3,10,0.10637586800183194,0.10637586800183194,0.054715153271151576,0.039171694952184734,0.039171694952184734,161578
final_ranker_two_tower_hybrid3,20,0.16930522719677185,0.16930522719677185,0.07050913537995357,0.043445401665586504,0.043445401665586504,161578
final_ranker_two_tower_hybrid3,50,0.2945759942566438,0.2945759942566438,0.09521243403401283,0.04734845228348556,0.04734845228348556,161578
final_ranker_ensemble,10,0.107496070009531,0.107496070009531,0.0552890732502717,0.03958827099477453,0.03958827099477453,161578
final_ranker_ensemble,20,0.170648231813737,0.170648231813737,0.07115698227941795,0.04389166963557963,0.04389166963557963,161578
final_ranker_ensemble,50,0.2962346359034027,0.2962346359034027,0.09594958757232966,0.047819147066244475,0.047819147066244475,161578
