model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07648318459196178,0.07648318459196178,0.03650898992035357,0.024589067700754055,0.024589067700754055,161578
baseline_retrieval_als,20,0.1355134981247447,0.1355134981247447,0.05129355021383185,0.028573385374513136,0.028573385374513136,161578
baseline_retrieval_als,50,0.26813056232902993,0.26813056232902993,0.07741060013449776,0.03268475985978926,0.03268475985978926,161578
baseline_ranker,10,0.10304001782420874,0.10304001782420874,0.052555719827703296,0.03741264231909639,0.03741264231909639,161578
baseline_ranker,20,0.1655052049165109,0.1655052049165109,0.06823672425835273,0.04165783385301129,0.04165783385301129,161578
baseline_ranker,50,0.2923417792026142,0.2923417792026142,0.09326735472032269,0.045620311841021284,0.045620311841021284,161578
final_retrieval_two_tower_faiss_hybrid3,10,0.07601282352795553,0.07601282352795553,0.03594308814129054,0.024030857768433687,0.024030857768433687,161578
final_retrieval_two_tower_faiss_hybrid3,20,0.1329203233113419,0.1329203233113419,0.050194225507773256,0.0278709124996842,0.0278709124996842,161578
final_retrieval_two_tower_faiss_hybrid3,50,0.25830868063721546,0.25830868063721546,0.07487836405120032,0.03175306099946018,0.03175306099946018,161578
final_ranker_two_tower_hybrid3,10,0.10685241802720667,0.10685241802720667,0.05499737346516408,0.03938786407547637,0.03938786407547637,161578
final_ranker_two_tower_hybrid3,20,0.1698189109903576,0.1698189109903576,0.07079375440414114,0.04365879425800833,0.04365879425800833,161578
final_ranker_two_tower_hybrid3,50,0.29442127022243125,0.29442127022243125,0.09536977168914981,0.04754327896930733,0.04754327896930733,161578
final_ranker_ensemble,10,0.10759509339142705,0.10759509339142705,0.05524770549575874,0.039497320277965015,0.039497320277965015,161578
final_ranker_ensemble,20,0.1704068623203654,0.1704068623203654,0.07103774008924245,0.043783611702099885,0.043783611702099885,161578
final_ranker_ensemble,50,0.2964574385126688,0.2964574385126688,0.09593097271135163,0.04773087837644621,0.04773087837644621,161578
