model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07819752689103715,0.07819752689103715,0.036840152061971505,0.024512187047309685,0.024512187047309685,161578
baseline_retrieval_als,20,0.13650373194370521,0.13650373194370521,0.05145418621023336,0.02845654728069393,0.02845654728069393,161578
baseline_retrieval_als,50,0.26977063709168325,0.26977063709168325,0.07771073594058772,0.03259501178275653,0.03259501178275653,161578
baseline_ranker,10,0.1078921635371152,0.1078921635371152,0.05509396696278258,0.039233950500490555,0.039233950500490555,161578
baseline_ranker,20,0.1712423721051133,0.1712423721051133,0.07099474881872933,0.04353755116148587,0.04353755116148587,161578
baseline_ranker,50,0.2976209632499474,0.2976209632499474,0.0959347279308476,0.047485941304785784,0.047485941304785784,161578
final_retrieval_two_tower_faiss_hybrid3,10,0.07741771775860574,0.07741771775860574,0.03661873788643234,0.024480065846619745,0.024480065846619745,161578
final_retrieval_two_tower_faiss_hybrid3,20,0.13467179937862828,0.13467179937862828,0.050972688031652835,0.02835562553227566,0.02835562553227566,161578
final_retrieval_two_tower_faiss_hybrid3,50,0.2606728638799837,0.2606728638799837,0.07577624183913076,0.03225620848318162,0.03225620848318162,161578
final_ranker_two_tower_hybrid3,10,0.11080716434168018,0.11080716434168018,0.057048695198669515,0.04087892976943474,0.04087892976943474,161578
final_ranker_two_tower_hybrid3,20,0.17529614180148287,0.17529614180148287,0.07323644265379026,0.045261177360500074,0.045261177360500074,161578
final_ranker_two_tower_hybrid3,50,0.30265877780390893,0.30265877780390893,0.09838127990494644,0.049246693406763103,0.049246693406763103,161578
final_ranker_ensemble,10,0.11212541311317135,0.11212541311317135,0.05768797489310284,0.041312198816159815,0.041312198816159815,161578
final_ranker_ensemble,20,0.1765463119979205,0.1765463119979205,0.07386662739147987,0.045695667835446846,0.045695667835446846,161578
final_ranker_ensemble,50,0.3044597655621434,0.3044597655621434,0.09910692571641454,0.04969062529916521,0.04969062529916521,161578
