model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07642748393964525,0.03649113684408738,0.024581056434093744,0.024581056434093744,161578
baseline_retrieval_als,20,0.13537115201326913,0.05125955094826345,0.02856404582664253,0.02856404582664253,161578
baseline_retrieval_als,50,0.26814912921313544,0.0774108612763768,0.03268195265492345,0.03268195265492345,161578
baseline_ranker,10,0.10377031526569211,0.052918207383260835,0.0376568754350694,0.0376568754350694,161578
baseline_ranker,20,0.16622931339662578,0.06859616939430842,0.0419010657881592,0.0419010657881592,161578
baseline_ranker,50,0.2924841253140898,0.09349924773871832,0.045837960607512815,0.045837960607512815,161578
final_retrieval_two_tower_faiss_hybrid,10,0.07287502011412444,0.03470453987615452,0.023364277157801296,0.023364277157801296,161578
final_retrieval_two_tower_faiss_hybrid,20,0.12808674448254093,0.048525250726991306,0.027084843213698934,0.027084843213698934,161578
final_retrieval_two_tower_faiss_hybrid,50,0.2517360036638651,0.07287271802415914,0.030915623013949282,0.030915623013949282,161578
final_ranker_two_tower_hybrid,10,0.10213642946440728,0.05179445885854974,0.03666077192655699,0.03666077192655699,161578
final_ranker_two_tower_hybrid,20,0.16483679708871257,0.06753249350493902,0.04092058185970439,0.04092058185970439,161578
final_ranker_two_tower_hybrid,50,0.28914208617509807,0.09206947010761564,0.04480708970921417,0.04480708970921417,161578
final_ranker_ensemble,10,0.10496478480981322,0.05348014119078603,0.03802018711489686,0.03802018711489686,161578
final_ranker_ensemble,20,0.16837069403012786,0.069412704847873,0.04234220877112123,0.04234220877112123,161578
final_ranker_ensemble,50,0.2944769708747478,0.09430367482135865,0.04628426069779485,0.04628426069779485,161578
