model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07790914747977598,0.03696228621377212,0.02478067186219019,0.02478067186219019,8035
baseline_retrieval_als,20,0.13067828251400124,0.05014519631989946,0.02831565330538477,0.02831565330538477,8035
baseline_retrieval_als,50,0.25152457996266336,0.07398306379432375,0.032085550381939415,0.032085550381939415,8035
baseline_ranker,10,0.08301182327317984,0.040254468170713056,0.027457699943698653,0.027457699943698653,8035
baseline_ranker,20,0.13926571250777847,0.05433523216679205,0.031249418213657478,0.031249418213657478,8035
baseline_ranker,50,0.26446795270690726,0.07898717557676811,0.03513043923660799,0.03513043923660799,8035
final_retrieval_two_tower_faiss_hybrid,10,0.0701929060360921,0.034238571179784655,0.023443960450805476,0.023443960450805476,8035
final_retrieval_two_tower_faiss_hybrid,20,0.12433105164903548,0.047858040378385536,0.027143473785607355,0.027143473785607355,8035
final_retrieval_two_tower_faiss_hybrid,50,0.24716863721219665,0.07203978002206739,0.030946614500590042,0.030946614500590042,8035
final_ranker_two_tower_hybrid,10,0.0864965774735532,0.04114925429829648,0.02761193587578151,0.02761193587578151,8035
final_ranker_two_tower_hybrid,20,0.14436838830118232,0.05566114758566293,0.03153097813180152,0.03153097813180152,8035
final_ranker_two_tower_hybrid,50,0.26596141879278157,0.0796664728911296,0.035332576148882855,0.035332576148882855,8035
final_ranker_ensemble,10,0.08749222153080274,0.04189063183285592,0.028293181616143595,0.028293181616143595,8035
final_ranker_ensemble,20,0.14387056627255757,0.05602206580670123,0.032106536998582416,0.032106536998582416,8035
final_ranker_ensemble,50,0.2698195395146235,0.0808200217638101,0.03600727857055583,0.03600727857055583,8035
