model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07815805849408837,0.037076756656991845,0.02486448178109656,0.02486448178109656,8035
baseline_retrieval_als,20,0.1310516490354698,0.05028699236373558,0.028405201179167065,0.028405201179167065,8035
baseline_retrieval_als,50,0.2517734909769757,0.07409046544091297,0.03216601422255623,0.03216601422255623,8035
baseline_ranker,10,0.08114499066583697,0.03955297266300289,0.027098161811914104,0.027098161811914104,8035
baseline_ranker,20,0.14075917859365278,0.054493678181786236,0.031130547285377855,0.031130547285377855,8035
baseline_ranker,50,0.26260112009956443,0.07846539082561224,0.03489549630732324,0.03489549630732324,8035
final_retrieval_two_tower_faiss_hybrid,10,0.06981953951462352,0.034206456212998004,0.023507175946503856,0.023507175946503856,8035
final_retrieval_two_tower_faiss_hybrid,20,0.12433105164903548,0.04793700984573807,0.02724624607039678,0.02724624607039678,8035
final_retrieval_two_tower_faiss_hybrid,50,0.24679527069072807,0.0720637969383935,0.031048347894332563,0.031048347894332563,8035
final_ranker_two_tower_hybrid,10,0.08761667703795893,0.04086520199823138,0.02690244071077917,0.02690244071077917,8035
final_ranker_two_tower_hybrid,20,0.1477286869943995,0.05594043011955765,0.03097538931754948,0.03097538931754948,8035
final_ranker_two_tower_hybrid,50,0.268201617921593,0.07964433596145035,0.034698762219316934,0.034698762219316934,8035
final_ranker_ensemble,10,0.08301182327317984,0.04002357717075943,0.027150067660335196,0.027150067660335196,8035
final_ranker_ensemble,20,0.1447417548226509,0.05555520887031927,0.03137169323501466,0.03137169323501466,8035
final_ranker_ensemble,50,0.271437461107654,0.08051439120077075,0.03530660686763022,0.03530660686763022,8035
