model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.08002489110143124,0.03677689374912453,0.023924546379431224,0.023924546379431224,8035
baseline_retrieval_als,20,0.14051026757934038,0.05183406158234621,0.027935419269934862,0.027935419269934862,8035
baseline_retrieval_als,50,0.2789047915370255,0.07910449380582112,0.03223377532495985,0.03223377532495985,8035
baseline_ranker,10,0.08823895457373988,0.040881433599509576,0.0266614810205351,0.0266614810205351,8035
baseline_ranker,20,0.1550715619166148,0.05765300393742753,0.031199007464200727,0.031199007464200727,8035
baseline_ranker,50,0.29023024268823894,0.08436884456780211,0.03544680919466801,0.03544680919466801,8035
final_retrieval_two_tower_faiss_hybrid,10,0.07205973864343497,0.03362983701589237,0.022234667772937807,0.022234667772937807,8035
final_retrieval_two_tower_faiss_hybrid,20,0.13366521468574985,0.04916147698873147,0.026475092270610505,0.026475092270610505,8035
final_retrieval_two_tower_faiss_hybrid,50,0.26359676415681393,0.0746498484229907,0.030445176131251136,0.030445176131251136,8035
final_ranker_two_tower_hybrid,10,0.08674548848786559,0.04182003780909368,0.028299503165713415,0.028299503165713415,8035
final_ranker_two_tower_hybrid,20,0.15183571873055382,0.05813516950994574,0.032702482887104714,0.032702482887104714,8035
final_ranker_two_tower_hybrid,50,0.29135034225264467,0.08558496121523783,0.03701048671903326,0.03701048671903326,8035
final_ranker_ensemble,10,0.09197261978842564,0.042693538559953975,0.02794139726000329,0.02794139726000329,8035
final_ranker_ensemble,20,0.15917859365276912,0.059486306113175305,0.03244685649449249,0.03244685649449249,8035
final_ranker_ensemble,50,0.2933416303671437,0.08589909757133349,0.03659977459318367,0.03659977459318367,8035
