model,k,recall,ndcg,map,mrr,users,split_offset
baseline_retrieval_als,20,0.13080273802115744,0.05018347796893642,0.028342243134435185,0.028342243134435185,8035,0
baseline_ranker,20,0.13926571250777847,0.054569105434241844,0.031382168174014374,0.031382168174014374,8035,0
final_retrieval_two_tower_faiss_hybrid,20,0.12457996266334785,0.04795745488837105,0.027219748232302617,0.027219748232302617,8035,0
final_ranker_two_tower_hybrid,20,0.14536403235843187,0.05613366897846085,0.03181487324080872,0.03181487324080872,8035,0
final_ranker_ensemble,20,0.14561294337274425,0.0562929510444582,0.03191597355623359,0.03191597355623359,8035,0
baseline_retrieval_als,20,0.14075917859365278,0.051895542159424685,0.027952728309179675,0.027952728309179675,8035,1
baseline_ranker,20,0.1537025513378967,0.05828240797624472,0.03263388207922183,0.03263388207922183,8035,1
final_retrieval_two_tower_faiss_hybrid,20,0.134411947728687,0.04928932670537884,0.02646235454376981,0.02646235454376981,8035,1
final_ranker_two_tower_hybrid,20,0.1537025513378967,0.05827189057928126,0.03249490241536935,0.03249490241536935,8035,1
final_ranker_ensemble,20,0.15569383945239576,0.05938174835047494,0.033307071417067124,0.033307071417067124,8035,1
baseline_retrieval_als,20,0.14548848786558805,0.05513918028545062,0.0308931350470399,0.0308931350470399,8035,2
baseline_ranker,20,0.16328562538892347,0.0628950500986265,0.03555637182479683,0.03555637182479683,8035,2
final_retrieval_two_tower_faiss_hybrid,20,0.13341630367143745,0.05127077840377435,0.029146948915646658,0.029146948915646658,8035,2
final_ranker_two_tower_hybrid,20,0.16652146857498445,0.06167703566134027,0.03324586530478037,0.03324586530478037,8035,2
final_ranker_ensemble,20,0.16751711263223398,0.06393139737278833,0.035746317375523744,0.035746317375523744,8035,2
