model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07990043559427505,0.03675466115204943,0.02392405250837108,0.02392405250837108,8035
baseline_retrieval_als,20,0.14075917859365278,0.051895542159424685,0.027952728309179675,0.027952728309179675,8035
baseline_retrieval_als,50,0.27840696950840077,0.07902028039891008,0.03222771972618592,0.03222771972618592,8035
baseline_ranker,10,0.08313627878033603,0.04058629508534895,0.02785413024367591,0.02785413024367591,8035
baseline_ranker,20,0.1537025513378967,0.05828240797624472,0.03263388207922183,0.03263388207922183,8035
baseline_ranker,50,0.28761667703795896,0.0847441574724637,0.03683840616054136,0.03683840616054136,8035
final_retrieval_two_tower_faiss_hybrid,10,0.07243310516490355,0.033704544052765344,0.022227704190989784,0.022227704190989784,8035
final_retrieval_two_tower_faiss_hybrid,20,0.134411947728687,0.04928932670537884,0.02646235454376981,0.02646235454376981,8035
final_retrieval_two_tower_faiss_hybrid,50,0.26334785314250153,0.07456550923128516,0.030391314090032127,0.030391314090032127,8035
final_ranker_two_tower_hybrid,10,0.08637212196639701,0.04138975292321154,0.02793547080728156,0.02793547080728156,8035
final_ranker_two_tower_hybrid,20,0.1537025513378967,0.05827189057928126,0.03249490241536935,0.03249490241536935,8035
final_ranker_two_tower_hybrid,50,0.2908525202240199,0.0851541229956779,0.03667206271815058,0.03667206271815058,8035
final_ranker_ensemble,10,0.08724331051649035,0.04216958870382496,0.02863306367973444,0.02863306367973444,8035
final_ranker_ensemble,20,0.15569383945239576,0.05938174835047494,0.033307071417067124,0.033307071417067124,8035
final_ranker_ensemble,50,0.292843808338519,0.08644558184857276,0.03759224298078013,0.03759224298078013,8035
