model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07853142501555693,0.03747522500732025,0.025262344307148247,0.025262344307148247,8035
baseline_retrieval_als,20,0.13080273802115744,0.050512533032084,0.028747052938670088,0.028747052938670088,8035
baseline_retrieval_als,50,0.2521468574984443,0.07446351080440146,0.032540289217987295,0.032540289217987295,8035
baseline_ranker,10,0.08276291225886745,0.039329111609510296,0.026275273851502773,0.026275273851502773,8035
baseline_ranker,20,0.13914125700062227,0.053446802020123405,0.030078752188041798,0.030078752188041798,8035
baseline_ranker,50,0.2612321095208463,0.07750922825049367,0.03387507293467674,0.03387507293467674,8035
final_retrieval_two_tower_faiss_hybrid,10,0.06969508400746734,0.034571068641074024,0.02406189192125715,0.02406189192125715,8035
final_retrieval_two_tower_faiss_hybrid,20,0.12121966397013068,0.04754753960679125,0.027596524312266776,0.027596524312266776,8035
final_retrieval_two_tower_faiss_hybrid,50,0.23795892968263846,0.07051912977321284,0.03120555998304904,0.03120555998304904,8035
final_ranker_two_tower_hybrid,10,0.08276291225886745,0.039064098160301854,0.025976432473009906,0.025976432473009906,8035
final_ranker_two_tower_hybrid,20,0.14088363410080895,0.0535751947824897,0.029863331559471306,0.029863331559471306,8035
final_ranker_two_tower_hybrid,50,0.2685749844430616,0.07868592931518466,0.03380047679612218,0.03380047679612218,8035
final_ranker_ensemble,10,0.08562538892345986,0.04006093206644426,0.02644531365751025,0.02644531365751025,8035
final_ranker_ensemble,20,0.1416303671437461,0.05404532391530885,0.030190940820293638,0.030190940820293638,8035
final_ranker_ensemble,50,0.2667081518357187,0.07870449884823022,0.034084558162336936,0.034084558162336936,8035
