model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_bm25,10,0.054760423148724334,0.054760423148724334,0.02632346292220923,0.01787536669926214,0.01787536669926214,8035
baseline_retrieval_bm25,20,0.09483509645301805,0.09483509645301805,0.03638507177459414,0.020599666000163212,0.020599666000163212,8035
baseline_retrieval_bm25,50,0.18991910392034847,0.18991910392034847,0.055019703970988224,0.023495345286137403,0.023495345286137403,8035
baseline_ranker,10,0.07492221530802738,0.07492221530802738,0.03629971907400875,0.02475202734070186,0.02475202734070186,8035
baseline_ranker,20,0.12644679527069072,0.12644679527069072,0.049305955189401715,0.028312929711113183,0.028312929711113183,8035
baseline_ranker,50,0.22962041070317363,0.22962041070317363,0.0696303423489918,0.03151571434129038,0.03151571434129038,8035
final_retrieval_two_tower_faiss_hybrid,10,0.059489732420659615,0.059489732420659615,0.028926913018701393,0.019783684475657065,0.019783684475657065,8035
final_retrieval_two_tower_faiss_hybrid,20,0.10528935905413815,0.10528935905413815,0.040378774495879795,0.022859971864000277,0.022859971864000277,8035
final_retrieval_two_tower_faiss_hybrid,50,0.20510267579340385,0.20510267579340385,0.06008704375435811,0.025983689329172128,0.025983689329172128,8035
final_ranker_two_tower_hybrid,10,0.08014934660858743,0.08014934660858743,0.038326787704745235,0.0257598700131369,0.0257598700131369,8035
final_ranker_two_tower_hybrid,20,0.1355320472930927,0.1355320472930927,0.05220584618609583,0.0295051216734217,0.0295051216734217,8035
final_ranker_two_tower_hybrid,50,0.24119477286869945,0.24119477286869945,0.07294597854168952,0.032743108818225224,0.032743108818225224,8035
final_ranker_ensemble,10,0.07853142501555693,0.07853142501555693,0.037754188959356186,0.02555797552375022,0.02555797552375022,8035
final_ranker_ensemble,20,0.13515868077162416,0.13515868077162416,0.0520175077789131,0.029446546996579632,0.029446546996579632,8035
final_ranker_ensemble,50,0.2418170504044804,0.2418170504044804,0.07297613561470699,0.03272627098212662,0.03272627098212662,8035
