model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07766023646546359,0.07766023646546359,0.03691896242194959,0.024803241769638752,0.024803241769638752,8035
baseline_retrieval_als,20,0.13067828251400124,0.13067828251400124,0.0501675395791196,0.028358178833835845,0.028358178833835845,8035
baseline_retrieval_als,50,0.25164903546981954,0.25164903546981954,0.07402878626609935,0.03213175900850099,0.03213175900850099,8035
baseline_ranker,10,0.08462974486621033,0.08462974486621033,0.04023883474938276,0.026947432364358287,0.026947432364358287,8035
baseline_ranker,20,0.13864343497199752,0.13864343497199752,0.05377309388099851,0.030597972150949535,0.030597972150949535,8035
baseline_ranker,50,0.26496577473553207,0.26496577473553207,0.07866414848262335,0.034520904903283835,0.034520904903283835,8035
final_retrieval_two_tower_faiss_hybrid3,10,0.07566894835096453,0.07566894835096453,0.03645707840788505,0.024729457433253298,0.024729457433253298,8035
final_retrieval_two_tower_faiss_hybrid3,20,0.1298070939639079,0.1298070939639079,0.04995942079244856,0.02833875045058318,0.02833875045058318,8035
final_retrieval_two_tower_faiss_hybrid3,50,0.25040448039825763,0.25040448039825763,0.0736887051320051,0.032065198292163394,0.032065198292163394,8035
final_ranker_two_tower_hybrid3,10,0.08861232109520846,0.08861232109520846,0.04243068103347562,0.0285689098290218,0.0285689098290218,8035
final_ranker_two_tower_hybrid3,20,0.15046670815183572,0.15046670815183572,0.05798461890071278,0.03279472111410456,0.03279472111410456,8035
final_ranker_two_tower_hybrid3,50,0.27056627255756066,0.27056627255756066,0.081635397249478,0.0365167205341529,0.0365167205341529,8035
final_ranker_ensemble,10,0.08836341008089608,0.08836341008089608,0.041508282777769974,0.02751321105085878,0.02751321105085878,8035
final_ranker_ensemble,20,0.1462352209085252,0.1462352209085252,0.055995592692739966,0.031414702017511675,0.031414702017511675,8035
final_ranker_ensemble,50,0.27056627255756066,0.27056627255756066,0.08046059033224709,0.035255589224273576,0.035255589224273576,8035
