model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07766023646546359,0.07766023646546359,0.0369167465825487,0.024798698155885437,0.024798698155885437,8035
baseline_retrieval_als,20,0.1310516490354698,0.1310516490354698,0.05025595731602828,0.028376272046423533,0.028376272046423533,8035
baseline_retrieval_als,50,0.2511512134411948,0.2511512134411948,0.073938782213664,0.03211819903047654,0.03211819903047654,8035
baseline_ranker,10,0.08363410080896079,0.08363410080896079,0.04130043158389952,0.028634792228444943,0.028634792228444943,8035
baseline_ranker,20,0.13926571250777847,0.13926571250777847,0.05526309627441764,0.03241233473310238,0.03241233473310238,8035
baseline_ranker,50,0.2613565650280025,0.2613565650280025,0.07932743119710965,0.03621298809120374,0.03621298809120374,8035
final_retrieval_two_tower_faiss_hybrid3,10,0.07566894835096453,0.07566894835096453,0.03642824403797018,0.02469325668454477,0.02469325668454477,8035
final_retrieval_two_tower_faiss_hybrid3,20,0.12993154947106408,0.12993154947106408,0.049967404477623836,0.028315542230106225,0.028315542230106225,8035
final_retrieval_two_tower_faiss_hybrid3,50,0.2502800248911014,0.2502800248911014,0.07364813612840697,0.03203417558696428,0.03203417558696428,8035
final_ranker_two_tower_hybrid3,10,0.08911014312383322,0.08911014312383322,0.04428655175018662,0.03078278563032759,0.03078278563032759,8035
final_ranker_two_tower_hybrid3,20,0.14971997510889856,0.14971997510889856,0.059537942724986546,0.03493121407253361,0.03493121407253361,8035
final_ranker_two_tower_hybrid3,50,0.27205973864343497,0.27205973864343497,0.08362031339883726,0.038723464925626484,0.038723464925626484,8035
final_ranker_ensemble,10,0.09097697573117611,0.09097697573117611,0.04467242056511654,0.030806195118578388,0.030806195118578388,8035
final_ranker_ensemble,20,0.14810205351586808,0.14810205351586808,0.05898858344883759,0.03467003332096254,0.03467003332096254,8035
final_ranker_ensemble,50,0.271437461107654,0.271437461107654,0.08327170021198367,0.038492303168783014,0.038492303168783014,8035
