model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07803360298693217,0.07803360298693217,0.0370442474720226,0.024860185102873307,0.024860185102873307,8035
baseline_retrieval_als,20,0.13067828251400124,0.13067828251400124,0.05019273619717451,0.028384516846812223,0.028384516846812223,8035
baseline_retrieval_als,50,0.25152457996266336,0.25152457996266336,0.07402918047654926,0.03215414318162456,0.03215414318162456,8035
baseline_ranker,10,0.08288736776602365,0.08288736776602365,0.040563916870898414,0.027870724311296752,0.027870724311296752,8035
baseline_ranker,20,0.1387678904791537,0.1387678904791537,0.05454027167922959,0.03162652667582721,0.03162652667582721,8035
baseline_ranker,50,0.2667081518357187,0.2667081518357187,0.07972324682927182,0.035587022002564306,0.035587022002564306,8035
final_retrieval_two_tower_faiss_hybrid3,10,0.07205973864343497,0.07205973864343497,0.035229929099848616,0.02419666933357036,0.02419666933357036,8035
final_retrieval_two_tower_faiss_hybrid3,20,0.1269446172993155,0.1269446172993155,0.04897138822896329,0.027896446407536624,0.027896446407536624,8035
final_retrieval_two_tower_faiss_hybrid3,50,0.24803982576228997,0.24803982576228997,0.07282255146313886,0.03165176974617031,0.03165176974617031,8035
final_ranker_two_tower_hybrid3,10,0.08923459863098943,0.08923459863098943,0.04267123631682967,0.028655979296925094,0.028655979296925094,8035
final_ranker_two_tower_hybrid3,20,0.15196017423771002,0.15196017423771002,0.05847010492738336,0.03295893474923008,0.03295893474923008,8035
final_ranker_two_tower_hybrid3,50,0.27392657125077785,0.27392657125077785,0.0825273814539448,0.03676152678637039,0.03676152678637039,8035
final_ranker_ensemble,10,0.08749222153080274,0.08749222153080274,0.04258109533901981,0.029107723155638466,0.029107723155638466,8035
final_ranker_ensemble,20,0.146110765401369,0.146110765401369,0.057297462772391,0.03309270146445349,0.03309270146445349,8035
final_ranker_ensemble,50,0.2750466708151836,0.2750466708151836,0.08265968255323353,0.03707368719812439,0.03707368719812439,8035
