model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.08002489110143124,0.08002489110143124,0.038891913434657845,0.026609822107644107,0.026609822107644107,8035
baseline_retrieval_als,20,0.14536403235843187,0.14536403235843187,0.05517083322906049,0.030952976013065302,0.030952976013065302,8035
baseline_retrieval_als,50,0.28861232109520846,0.28861232109520846,0.08344947991702509,0.035433519859863774,0.035433519859863774,8035
baseline_ranker,10,0.09769757311761046,0.09769757311761046,0.04591779924961088,0.030433174306851905,0.030433174306851905,8035
baseline_ranker,20,0.16465463596764157,0.16465463596764157,0.06271690708738528,0.03497528285529109,0.03497528285529109,8035
baseline_ranker,50,0.29869321717485997,0.29869321717485997,0.0891283499015144,0.039140359355794706,0.039140359355794706,8035
final_retrieval_two_tower_faiss_hybrid3,10,0.080522713130056,0.080522713130056,0.03864779115399248,0.0261930937070949,0.0261930937070949,8035
final_retrieval_two_tower_faiss_hybrid3,20,0.13764779091474796,0.13764779091474796,0.05293596143669788,0.030032434763482732,0.030032434763482732,8035
final_retrieval_two_tower_faiss_hybrid3,50,0.2765401369010579,0.2765401369010579,0.08028329348717274,0.034334037973452726,0.034334037973452726,8035
final_ranker_two_tower_hybrid3,10,0.09968886123210952,0.09968886123210952,0.048240594566739736,0.03279950810442402,0.03279950810442402,8035
final_ranker_two_tower_hybrid3,20,0.1703795892968264,0.1703795892968264,0.06599667407768472,0.037610534054603094,0.037610534054603094,8035
final_ranker_two_tower_hybrid3,50,0.3044181705040448,0.3044181705040448,0.092379411463309,0.04175818265946402,0.04175818265946402,8035
final_ranker_ensemble,10,0.10280024891101432,0.10280024891101432,0.048446267164831885,0.03216463685660939,0.03216463685660939,8035
final_ranker_ensemble,20,0.17224642190416925,0.17224642190416925,0.0657787925782074,0.036804937067565054,0.036804937067565054,8035
final_ranker_ensemble,50,0.30479153702551337,0.30479153702551337,0.09193028854504642,0.040938555532339244,0.040938555532339244,8035
