model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07803360298693217,0.07803360298693217,0.03704582284247176,0.024858654102586863,0.024858654102586863,8035
baseline_retrieval_als,20,0.1314250155569384,0.1314250155569384,0.050370267620568426,0.0284246839428745,0.0284246839428745,8035
baseline_retrieval_als,50,0.2511512134411948,0.2511512134411948,0.07397276347591998,0.032150789515919306,0.032150789515919306,8035
baseline_ranker,10,0.08313627878033603,0.08313627878033603,0.03989686172391225,0.026926492231408167,0.026926492231408167,8035
baseline_ranker,20,0.14138145612943373,0.14138145612943373,0.05452786888049548,0.030895727132864977,0.030895727132864977,8035
baseline_ranker,50,0.26484131922837584,0.26484131922837584,0.07886689906014703,0.03473753862677117,0.03473753862677117,8035
final_retrieval_two_tower_faiss_hybrid3,10,0.07604231487243311,0.07604231487243311,0.036540567920758674,0.02473306269199234,0.02473306269199234,8035
final_retrieval_two_tower_faiss_hybrid3,20,0.1298070939639079,0.1298070939639079,0.049948775021168505,0.028316478218358723,0.028316478218358723,8035
final_retrieval_two_tower_faiss_hybrid3,50,0.25015556938394523,0.25015556938394523,0.07364023764890866,0.03204144868987191,0.03204144868987191,8035
final_ranker_two_tower_hybrid3,10,0.09023024268823895,0.09023024268823895,0.04312942153755199,0.028959463063383324,0.028959463063383324,8035
final_ranker_two_tower_hybrid3,20,0.1495955196017424,0.1495955196017424,0.05801495471963245,0.032979576770171694,0.032979576770171694,8035
final_ranker_two_tower_hybrid3,50,0.2710640945861854,0.2710640945861854,0.08189832915068047,0.03672317236125257,0.03672317236125257,8035
final_ranker_ensemble,10,0.09085252022401992,0.09085252022401992,0.04325857486136976,0.028938374769115236,0.028938374769115236,8035
final_ranker_ensemble,20,0.1495955196017424,0.1495955196017424,0.0579800901099435,0.03290968034279514,0.03290968034279514,8035
final_ranker_ensemble,50,0.2744243932794026,0.2744243932794026,0.08255052129034052,0.03677361245800597,0.03677361245800597,8035
