model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.0777846919726198,0.0777846919726198,0.036931707952692946,0.02478501792751945,0.02478501792751945,8035
baseline_retrieval_als,20,0.13067828251400124,0.13067828251400124,0.05015202001549548,0.028333271832277736,0.028333271832277736,8035
baseline_retrieval_als,50,0.25127566894835096,0.25127566894835096,0.07395032514971074,0.032101201712451115,0.032101201712451115,8035
baseline_ranker,10,0.0835096453018046,0.0835096453018046,0.04081035721094977,0.02800806985312272,0.02800806985312272,8035
baseline_ranker,20,0.1416303671437461,0.1416303671437461,0.05537162678219234,0.031933521165278096,0.031933521165278096,8035
baseline_ranker,50,0.26222775357809586,0.26222775357809586,0.07909199122877178,0.035655670759917574,0.035655670759917574,8035
final_retrieval_two_tower_faiss_hybrid3,10,0.07566894835096453,0.07566894835096453,0.036415016432182555,0.024677057713772054,0.024677057713772054,8035
final_retrieval_two_tower_faiss_hybrid3,20,0.13005600497822029,0.13005600497822029,0.0499762707292613,0.02830062017301572,0.02830062017301572,8035
final_retrieval_two_tower_faiss_hybrid3,50,0.25040448039825763,0.25040448039825763,0.07365096032243874,0.03201581945827947,0.03201581945827947,8035
final_ranker_two_tower_hybrid3,10,0.0925948973242066,0.0925948973242066,0.04441085357397655,0.030014174099426052,0.030014174099426052,8035
final_ranker_two_tower_hybrid3,20,0.1489732420659614,0.1489732420659614,0.0585462569688518,0.033831355037099595,0.033831355037099595,8035
final_ranker_two_tower_hybrid3,50,0.2729309271935283,0.2729309271935283,0.08290516668198,0.037645544477470316,0.037645544477470316,8035
final_ranker_ensemble,10,0.08799004355942751,0.08799004355942751,0.042773345532353915,0.029218399660216655,0.029218399660216655,8035
final_ranker_ensemble,20,0.1494710640945862,0.1494710640945862,0.05824923512561397,0.03343121509280202,0.03343121509280202,8035
final_ranker_ensemble,50,0.2716863721219664,0.2716863721219664,0.08228439486779493,0.03720511433515222,0.03720511433515222,8035
