model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07803360298693217,0.07803360298693217,0.03703455569232259,0.024845467745281034,0.024845467745281034,8035
baseline_retrieval_als,20,0.13117610454262602,0.13117610454262602,0.05029768849625621,0.02839559780406329,0.02839559780406329,8035
baseline_retrieval_als,50,0.25152457996266336,0.25152457996266336,0.0740247766798653,0.03214262846170656,0.03214262846170656,8035
baseline_ranker,10,0.08301182327317984,0.08301182327317984,0.03987569431607882,0.026940814492152347,0.026940814492152347,8035
baseline_ranker,20,0.1388923459863099,0.1388923459863099,0.05391253040992425,0.030745418427333446,0.030745418427333446,8035
baseline_ranker,50,0.2611076540136901,0.2611076540136901,0.07798269938402684,0.03453855070676384,0.03453855070676384,8035
final_retrieval_two_tower_faiss_hybrid3,10,0.07517112632233976,0.07517112632233976,0.03645245028135962,0.02486660542665517,0.02486660542665517,8035
final_retrieval_two_tower_faiss_hybrid3,20,0.12594897324206597,0.12594897324206597,0.04921469504443754,0.02832986391559948,0.02832986391559948,8035
final_retrieval_two_tower_faiss_hybrid3,50,0.2450528935905414,0.2450528935905414,0.0727810913451844,0.03208466451435008,0.03208466451435008,8035
final_ranker_two_tower_hybrid3,10,0.08898568761667704,0.08898568761667704,0.043034358724171995,0.029245957665372673,0.029245957665372673,8035
final_ranker_two_tower_hybrid3,20,0.1509645301804605,0.1509645301804605,0.058550861375484334,0.033424899069062285,0.033424899069062285,8035
final_ranker_two_tower_hybrid3,50,0.2719352831362788,0.2719352831362788,0.08236648896192668,0.037172042628473276,0.037172042628473276,8035
final_ranker_ensemble,10,0.08799004355942751,0.08799004355942751,0.042012667475058434,0.028233917088926346,0.028233917088926346,8035
final_ranker_ensemble,20,0.1462352209085252,0.1462352209085252,0.056662053829105975,0.03221494971504603,0.03221494971504603,8035
final_ranker_ensemble,50,0.27118855009334164,0.27118855009334164,0.08126677825501079,0.0360890374680226,0.0360890374680226,8035
