model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07290470723306544,0.07290470723306544,0.035837671178286776,0.02477857962932592,0.02477857962932592,1742
baseline_retrieval_als,20,0.12456946039035591,0.12456946039035591,0.04884061701323331,0.02831540171416321,0.02831540171416321,1742
baseline_ranker,10,0.07290470723306544,0.07290470723306544,0.03670211431923907,0.025713237840103514,0.025713237840103514,1742
baseline_ranker,20,0.1285878300803674,0.1285878300803674,0.05074609910764335,0.029550450392322,0.029550450392322,1742
final_retrieval_two_tower_faiss_hybrid4,10,0.0574052812858783,0.0574052812858783,0.026131867867917363,0.016859612195433086,0.016859612195433086,1742
final_retrieval_two_tower_faiss_hybrid4,20,0.09299655568312284,0.09299655568312284,0.03515673711161561,0.019349868644943344,0.019349868644943344,1742
final_ranker_two_tower_hybrid4,10,0.0809414466130884,0.0809414466130884,0.039073958404176955,0.026368614801450647,0.026368614801450647,1742
final_ranker_two_tower_hybrid4,20,0.14064293915040182,0.14064293915040182,0.05406351134933809,0.030429168199510703,0.030429168199510703,1742
final_ranker_ensemble,10,0.08668197474167623,0.08668197474167623,0.04102487448190163,0.027303956408434037,0.027303956408434037,1742
final_ranker_ensemble,20,0.1452353616532721,0.1452353616532721,0.055755555871306796,0.031309248772228654,0.031309248772228654,1742
