model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07716241443683883,0.03815467026459709,0.02646442646753782,0.02646442646753782,8035
baseline_retrieval_als,20,0.13167392657125077,0.05180525641377611,0.030140653299092286,0.030140653299092286,8035
baseline_retrieval_als,50,0.25326695706285,0.07579981628784632,0.033934063184351125,0.033934063184351125,8035
baseline_ranker,10,0.08500311138767891,0.04187636636310232,0.028952450094329323,0.028952450094329323,8035
baseline_ranker,20,0.14212818917237088,0.05625627455346678,0.03286627912906422,0.03286627912906422,8035
baseline_ranker,50,0.25588052271313005,0.07870248494404523,0.03641797480272229,0.03641797480272229,8035
final_retrieval_two_tower_faiss_hybrid,10,0.06608587429993777,0.03270471972782235,0.022723896445116083,0.022723896445116083,8035
final_retrieval_two_tower_faiss_hybrid,20,0.11736154324828874,0.04548748304094586,0.026138517271953418,0.026138517271953418,8035
final_retrieval_two_tower_faiss_hybrid,50,0.2311138767890479,0.06785636516336402,0.02964710368650008,0.02964710368650008,8035
final_ranker_two_tower_hybrid,10,0.08438083385189794,0.04024223794899903,0.026980126628539765,0.026980126628539765,8035
final_ranker_two_tower_hybrid,20,0.14461729931549472,0.05538532802743272,0.031091496663601843,0.031091496663601843,8035
final_ranker_two_tower_hybrid,50,0.2594897324206596,0.07800183758725676,0.03465174247973946,0.03465174247973946,8035
